Título da Revista;ISSN;Homepage;Aims and Scope: ;Aims and Scope (translate);Área;Subárea;Sub-subárea;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
ECONOMICS OF EDUCATION REVIEW;0272-7757;https://www.journals.elsevier.com/economics-of-education-review;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Economics of Education Review.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Economics of Education Review.;Outras / Não Classificado;Geral / Multidisciplinar;Educação, Disciplinas Científicas, Ciências Veterinárias;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECONOMICS%20OF%20EDUCATION%20REVIEW&btnG=
ECONOMICS OF ENERGY & ENVIRONMENTAL POLICY;2160-5882;http://www.jstor.org/journal/econenerenvipoli;Aims and Scope: Published by International Association for Energy Economics. Focuses on scholarly research in the field of Economics of Energy and Environmental Policy.;Aims and Scope: Published by International Association for Energy Economics. Focuses on scholarly research in the field of Economics of Energy and Environmental Policy.;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Veterinárias;Web of Science;1,1;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECONOMICS%20OF%20ENERGY%20%26%20ENVIRONMENTAL%20POLICY&btnG=
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY;1043-8599;https://www.tandfonline.com/toc/gein20/current;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Veterinárias;Web of Science;1,5;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECONOMICS%20OF%20INNOVATION%20AND%20NEW%20TECHNOLOGY&btnG=
ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE;2577-6975;https://onlinelibrary.wiley.com/journal/25776983;;;Outras / Não Classificado;Geral / Multidisciplinar;Acústica, Engenharia Mecânica, Mecânica;Web of Science;1,9;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECONOMICS%20OF%20TRANSITION%20AND%20INSTITUTIONAL%20CHANGE&btnG=
ECONOMICS OF TRANSPORTATION;2212-0122;https://www.journals.elsevier.com/economics-of-transportation;;;Outras / Não Classificado;Geral / Multidisciplinar;Acústica, Engenharia Mecânica, Mecânica;Web of Science;2,4;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECONOMICS%20OF%20TRANSPORTATION&btnG=
ECOSCIENCE;1195-6860;https://www.tandfonline.com/toc/teco20/current;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência da Computação, Aplicações Interdisciplinares, Ciência da imagem e tecnologia fotográfica;Web of Science;2,3;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECOSCIENCE&btnG=
ECTI Transactions on Electrical Engineering, Electronics, and Communications;1685-9545;;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência da Computação, Engenharia;Scopus;-;-;0,197;Q4;16.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECTI%20Transactions%20on%20Electrical%20Engineering%2C%20Electronics%2C%20and%20Communications&btnG=
ECUMENICA-PERFORMANCE AND RELIGION;1942-4558;https://www.jstor.org/journal/ecumenica;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Veterinárias;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ECUMENICA-PERFORMANCE%20AND%20RELIGION&btnG=
EDPACS;1936-1009;https://www.tandfonline.com/toc/uedp20/current;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência da Computação, Ciências Sociais;Scopus;-;-;0,212;Q3;17.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDPACS&btnG=
EDUCATION AND TRAINING IN AUTISM AND DEVELOPMENTAL DISABILITIES;2154-1647;;;;Outras / Não Classificado;Geral / Multidisciplinar;Geriatria e Gerontologia;Web of Science;3,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATION%20AND%20TRAINING%20IN%20AUTISM%20AND%20DEVELOPMENTAL%20DISABILITIES&btnG=
EDUCATION AND URBAN SOCIETY;0013-1245;http://www.sagepub.com/journals/Journal200780/title;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Multidisciplinares;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATION%20AND%20URBAN%20SOCIETY&btnG=
EDUCATION CITIZENSHIP AND SOCIAL JUSTICE;1746-1979;http://www.sagepub.com/journals/Journal201759/title;;;Outras / Não Classificado;Geral / Multidisciplinar;Analítica, Química;Web of Science;1,1;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATION%20CITIZENSHIP%20AND%20SOCIAL%20JUSTICE&btnG=
EDUCATION FINANCE AND POLICY;1557-3060;http://www.mitpressjournals.org/loi/edfp;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Veterinárias;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATION%20FINANCE%20AND%20POLICY&btnG=
EDUCATION FOR CHEMICAL ENGINEERS;1749-7728;https://www.journals.elsevier.com/education-for-chemical-engineers;;;Outras / Não Classificado;Geral / Multidisciplinar;Química, Engenharia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATION%20FOR%20CHEMICAL%20ENGINEERS&btnG=
EDUCATION FOR INFORMATION;0167-8329;http://iospress.metapress.com/content/0167-8329/;;;Outras / Não Classificado;Geral / Multidisciplinar;Sistema Cardíaco e Cardiovascular;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATION%20FOR%20INFORMATION&btnG=
EDUCATIONAL ACTION RESEARCH;0965-0792;https://www.tandfonline.com/toc/reac20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Action Research.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Action Research.;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;12,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20ACTION%20RESEARCH&btnG=
EDUCATIONAL ADMINISTRATION QUARTERLY;0013-161X;http://www.sagepub.com/journals/Journal200854/title;Aims and Scope: Published by SAGE Publications. Focuses on academic publications in Educational Administration Quarterly.;Aims and Scope: Published by SAGE Publications. Focuses on academic publications in Educational Administration Quarterly.;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;5,7;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20ADMINISTRATION%20QUARTERLY&btnG=
EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST;2059-0776;https://www.tandfonline.com/toc/rdvp20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in The Educational and Developmental Psychologist.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in The Educational and Developmental Psychologist.;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;89,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20AND%20DEVELOPMENTAL%20PSYCHOLOGIST&btnG=
EDUCATIONAL ASSESSMENT;1062-7197;https://www.tandfonline.com/toc/heda20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Assessment.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Assessment.;Outras / Não Classificado;Geral / Multidisciplinar;Reabilitação, Ciências do Esporte;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20ASSESSMENT&btnG=
EDUCATIONAL EVALUATION AND POLICY ANALYSIS;0162-3737;http://epa.sagepub.com/;Aims and Scope: Published by American Educational Research Association. Focuses on academic publications in Educational Evaluation and Policy Analysis.;Aims and Scope: Published by American Educational Research Association. Focuses on academic publications in Educational Evaluation and Policy Analysis.;Outras / Não Classificado;Geral / Multidisciplinar;Física, Química;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20EVALUATION%20AND%20POLICY%20ANALYSIS&btnG=
EDUCATIONAL FORUM;0013-1725;https://www.tandfonline.com/toc/utef20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of The Educational Forum.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of The Educational Forum.;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Veterinárias;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20FORUM&btnG=
EDUCATIONAL GERONTOLOGY;0360-1277;https://www.tandfonline.com/toc/uedg20/current;;;Outras / Não Classificado;Geral / Multidisciplinar;Oftalmologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20GERONTOLOGY&btnG=
EDUCATIONAL PHILOSOPHY AND THEORY;0013-1857;https://www.tandfonline.com/toc/rept20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Philosophy and Theory.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Philosophy and Theory.;Outras / Não Classificado;Geral / Multidisciplinar;Inteligência Artificial, Ciência da Computação, Ciência da Computação, Sistemas de Informação;Web of Science;3,1;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20PHILOSOPHY%20AND%20THEORY&btnG=
EDUCATIONAL PSYCHOLOGIST;0046-1520;https://www.tandfonline.com/toc/hedp20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Psychologist.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Psychologist.;Outras / Não Classificado;Geral / Multidisciplinar;Inteligência Artificial, Ciência da Computação;Web of Science;7,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20PSYCHOLOGIST&btnG=
EDUCATIONAL PSYCHOLOGY;0144-3410;https://www.tandfonline.com/toc/cedp20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Educational Psychology.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Educational Psychology.;Outras / Não Classificado;Geral / Multidisciplinar;Inteligência Artificial, Ciência da Computação;Web of Science;2;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20PSYCHOLOGY&btnG=
EDUCATIONAL RESEARCH AND EVALUATION;1380-3611;https://www.tandfonline.com/toc/nere20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Research and Evaluation.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in Educational Research and Evaluation.;Outras / Não Classificado;Geral / Multidisciplinar;Mecânica, Ciência dos Polímeros;Web of Science;2,6;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20RESEARCH%20AND%20EVALUATION&btnG=
EDUCATIONAL RESEARCH REVIEW;1747-938X;https://www.journals.elsevier.com/educational-research-review;;;Outras / Não Classificado;Geral / Multidisciplinar;Química, Multidisciplinar, Engenharia, Química;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EDUCATIONAL%20RESEARCH%20REVIEW&btnG=
EEA - Electrotehnica, Electronica, Automatica;2392-828X;http://www.eea-journal.ro/ro/d/5/p/eea_2014_ro;;;Outras / Não Classificado;Geral / Multidisciplinar;Engenharia;Scopus;-;-;0,186;Q4;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EEA%20-%20Electrotehnica%2C%20Electronica%2C%20Automatica&btnG=
EGITIM VE BILIM-EDUCATION AND SCIENCE;1300-1337;;;;Outras / Não Classificado;Geral / Multidisciplinar;Análise, Nanociência e Nanotecnologia, Instrumentos e Instrumentação, Métodos de Pesquisa Bioquímica, Química Multidisciplinar, Química;Web of Science;5,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGITIM%20VE%20BILIM-EDUCATION%20AND%20SCIENCE&btnG=
EGYPTIAN JOURNAL OF AGRONOMY;0379-3575;;;;Outras / Não Classificado;Geral / Multidisciplinar;Tecnologia de Laboratório Médico;Web of Science;1;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGYPTIAN%20JOURNAL%20OF%20AGRONOMY&btnG=
EGYPTIAN JOURNAL OF BOTANY;0375-9237;;;;Outras / Não Classificado;Geral / Multidisciplinar;Endocrinologia e Metabolismo;Web of Science;41,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGYPTIAN%20JOURNAL%20OF%20BOTANY&btnG=
EGYPTIAN JOURNAL OF CHEMISTRY;0449-2285;https://ejchem.journals.ekb.eg;;;Outras / Não Classificado;Geral / Multidisciplinar;Gastroenterologia e Hepatologia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGYPTIAN%20JOURNAL%20OF%20CHEMISTRY&btnG=
EGYPTIAN JOURNAL OF DERMATOLOGY AND VENEREOLOGY;1110-6530;http://www.ejdv.eg.net;;;Outras / Não Classificado;Geral / Multidisciplinar;Geriatria e Gerontologia;Web of Science;14,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGYPTIAN%20JOURNAL%20OF%20DERMATOLOGY%20AND%20VENEREOLOGY&btnG=
EGYPTIAN JOURNAL OF HAEMATOLOGY;1110-1067;https://journals.lww.com/egjh/pages/default.aspx;;;Outras / Não Classificado;Geral / Multidisciplinar;Doenças Infecciosas;Web of Science;31;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGYPTIAN%20JOURNAL%20OF%20HAEMATOLOGY&btnG=
EGYPTIAN JOURNAL OF PEDIATRIC ALLERGY AND IMMUNOLOGY;1687-1642;http://www.espai-eg.org/journal.htm;;;Outras / Não Classificado;Geral / Multidisciplinar;Saúde Ambiental e Ocupacional, Pública;Web of Science;25,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGYPTIAN%20JOURNAL%20OF%20PEDIATRIC%20ALLERGY%20AND%20IMMUNOLOGY&btnG=
EGYPTIAN JOURNAL OF SURGERY;1110-1121;https://journals.lww.com/ejos/pages/default.aspx;Explore The Egyptian Journal of Surgery, featuring peer‑reviewed articles, clinical studies, and the latest medical research.;Explore The Egyptian Journal of Surgery, featuring peer‑reviewed articles, clinical studies, and the latest medical research.;Outras / Não Classificado;Geral / Multidisciplinar;Reumatologia;Web of Science;16,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EGYPTIAN%20JOURNAL%20OF%20SURGERY&btnG=
EIGHTEENTH CENTURY-THEORY AND INTERPRETATION;0193-5380;http://ecti.pennpress.org/;;;Outras / Não Classificado;Geral / Multidisciplinar;Audiologia e Patologia da Fala;Web of Science;1,1;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EIGHTEENTH%20CENTURY-THEORY%20AND%20INTERPRETATION&btnG=
EIGHTEENTH-CENTURY FICTION;0840-6286;http://www.utpjournals.press/loi/ecf;;;Outras / Não Classificado;Geral / Multidisciplinar;Audiologia e Patologia da Fala, Ciências Comportamentais;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EIGHTEENTH-CENTURY%20FICTION&btnG=
EIKASMOS-QUADERNI BOLOGNESI DI FILOLOGIA CLASSICA;1121-8819;https://www2.classics.unibo.it/eikasmos/;;;Outras / Não Classificado;Geral / Multidisciplinar;Otorrinolaringologia;Web of Science;1,7;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EIKASMOS-QUADERNI%20BOLOGNESI%20DI%20FILOLOGIA%20CLASSICA&btnG=
EIRE-IRELAND;0013-2683;http://www.iaci-usa.org/programspublications/eireireland.html;;;Outras / Não Classificado;Geral / Multidisciplinar;Física Aplicada, Física, Matéria Condensada, Óptica, Física;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EIRE-IRELAND&btnG=
EKPHRASIS-IMAGES CINEMA THEORY MEDIA;2067-631X;https://www.ekphrasisjournal.ro/;Aims and Scope: Published by Babes-Bolyai University Cluj-Napoca. Focuses on academic publications in Ekphrasis Images Cinema Theory Media.;Aims and Scope: Published by Babes-Bolyai University Cluj-Napoca. Focuses on academic publications in Ekphrasis Images Cinema Theory Media.;Outras / Não Classificado;Geral / Multidisciplinar;Oncologia, Hematologia;Web of Science;13,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EKPHRASIS-IMAGES%20CINEMA%20THEORY%20MEDIA&btnG=
ELECTION LAW JOURNAL;1533-1296;http://www.liebertpub.com/overview/election-law-journal-rules-politics-and-policy/101/;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Election Law Journal Rules Politics and Policy.;Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Election Law Journal Rules Politics and Policy.;Outras / Não Classificado;Geral / Multidisciplinar;Saúde Ambiental e Ocupacional, Pública;Web of Science;3,5;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTION%20LAW%20JOURNAL&btnG=
ELECTORAL STUDIES;0261-3794;https://www.journals.elsevier.com/electoral-studies;Aims and Scope: Published by Elsevier. Focuses on academic publications in Electoral Studies.;Aims and Scope: Published by Elsevier. Focuses on academic publications in Electoral Studies.;Outras / Não Classificado;Geral / Multidisciplinar;Recursos hídricos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTORAL%20STUDIES&btnG=
ELECTRIC POWER SYSTEMS RESEARCH;0378-7796;https://www.journals.elsevier.com/electric-power-systems-research;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Electric Power Systems Research.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Electric Power Systems Research.;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Vegetais, Micologia;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRIC%20POWER%20SYSTEMS%20RESEARCH&btnG=
ELECTRICAL ENGINEERING IN JAPAN;0424-7760;https://onlinelibrary.wiley.com/journal/15206416;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on academic publications in Electrical Engineering in Japan.;Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on academic publications in Electrical Engineering in Japan.;Outras / Não Classificado;Geral / Multidisciplinar;Genética e Hereditariedade, Nutrição e Dietética;Web of Science;1,4;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRICAL%20ENGINEERING%20IN%20JAPAN&btnG=
ELECTRICITY JOURNAL;1040-6190;https://www.journals.elsevier.com/the-electricity-journal;Aims and Scope: Published by Elsevier. Focuses on academic publications in The Electricity Journal.;Aims and Scope: Published by Elsevier. Focuses on academic publications in The Electricity Journal.;Outras / Não Classificado;Geral / Multidisciplinar;Elétrica e Eletrônica, Óptica, Engenharia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRICITY%20JOURNAL&btnG=
ELECTROCHEMICAL SOCIETY INTERFACE;1064-8208;http://www.electrochem.org/dl/interface;Aims and Scope: Published by The Electrochemical Society. Focuses on scholarly research in the field of The Electrochemical Society Interface.;Aims and Scope: Published by The Electrochemical Society. Focuses on scholarly research in the field of The Electrochemical Society Interface.;Outras / Não Classificado;Geral / Multidisciplinar;Limnologia;Web of Science;1,6;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTROCHEMICAL%20SOCIETY%20INTERFACE&btnG=
ELECTROMAGNETIC BIOLOGY AND MEDICINE;1536-8378;https://www.tandfonline.com/toc/iebm20/current;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Electromagnetic Biology and Medicine.;Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Electromagnetic Biology and Medicine.;Outras / Não Classificado;Geral / Multidisciplinar;Matemática Aplicada, Matemática;Web of Science;1,1;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTROMAGNETIC%20BIOLOGY%20AND%20MEDICINE&btnG=
ELECTRONIC JOURNAL OF E-LEARNING;1479-4403;http://www.ejel.org/scope.htm;Aims and Scope: Published by Academic Conferences and Publishing International Ltd. Focuses on scholarly research in the field of The Electronic Journal of e-Learning.;Aims and Scope: Published by Academic Conferences and Publishing International Ltd. Focuses on scholarly research in the field of The Electronic Journal of e-Learning.;Outras / Não Classificado;Geral / Multidisciplinar;Oncologia, Gastroenterologia e Hepatologia;Web of Science;9,1;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONIC%20JOURNAL%20OF%20E-LEARNING&btnG=
ELECTRONIC JOURNAL OF LINEAR ALGEBRA;1537-9582;http://www.emis.de/journals/ela;Aims and Scope: Published by University of Wyoming Libraries. Focuses on academic publications in Electronic Journal of Linear Algebra.;Aims and Scope: Published by University of Wyoming Libraries. Focuses on academic publications in Electronic Journal of Linear Algebra.;Outras / Não Classificado;Geral / Multidisciplinar;Partículas e Campos, Física;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONIC%20JOURNAL%20OF%20LINEAR%20ALGEBRA&btnG=
ELECTRONIC LIBRARY;0264-0473;http://www.emeraldinsight.com/loi/el;Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of The Electronic Library.;Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of The Electronic Library.;Outras / Não Classificado;Geral / Multidisciplinar;Física aplicada;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONIC%20LIBRARY&btnG=
ELECTRONIC NEWS;1931-2431;https://journals.sagepub.com/home/enx;;;Outras / Não Classificado;Geral / Multidisciplinar;Analítica, Química;Web of Science;3;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONIC%20NEWS&btnG=
ELECTRONIC RESEARCH ARCHIVE;2688-1594;https://www.aimsciences.org/journal/A0000-0004/2019/27/0;Aims and Scope: Published by American Institute of Mathematical Sciences. Focuses on academic publications in Electronic Research Archive.;Aims and Scope: Published by American Institute of Mathematical Sciences. Focuses on academic publications in Electronic Research Archive.;Outras / Não Classificado;Geral / Multidisciplinar;Sistema respiratório;Web of Science;3,9;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONIC%20RESEARCH%20ARCHIVE&btnG=
ELECTRONIC STRUCTURE;2516-1075;https://iopscience.iop.org/journal/2516-1075;Aims and Scope: Published by IOP Publishing. Focuses on scholarly research in the field of Electronic Structure.;Aims and Scope: Published by IOP Publishing. Focuses on scholarly research in the field of Electronic Structure.;Outras / Não Classificado;Geral / Multidisciplinar;Oncologia, Sistema Respiratório;Web of Science;4,4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONIC%20STRUCTURE&btnG=
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS;1068-9613;http://www.emis.de/journals/etna;;;Outras / Não Classificado;Geral / Multidisciplinar;Reumatologia;Web of Science;1,9;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONIC%20TRANSACTIONS%20ON%20NUMERICAL%20ANALYSIS&btnG=
ELECTRONICS AND COMMUNICATIONS IN JAPAN;1942-9533;https://onlinelibrary.wiley.com/journal/19429541;;;Outras / Não Classificado;Geral / Multidisciplinar;Urologia e Nefrologia;Web of Science;1,5;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELECTRONICS%20AND%20COMMUNICATIONS%20IN%20JAPAN&btnG=
ELEMENTARY SCHOOL JOURNAL;0013-5984;http://www.journals.uchicago.edu/esj;Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of The Elementary School Journal.;Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of The Elementary School Journal.;Outras / Não Classificado;Geral / Multidisciplinar;Inteligência Artificial, Ciência da Computação, Ciência da Computação, Aplicações Interdisciplinares, Ciências Multidisciplinares;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELEMENTARY%20SCHOOL%20JOURNAL&btnG=
ELH;0013-8304;http://www.press.jhu.edu/journals/english_literary_history/;;;Outras / Não Classificado;Geral / Multidisciplinar;Multidisciplinar, Química;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELH&btnG=
ELOS-REVISTA DE LITERATURA INFANTIL E XUVENIL;2386-7620;http://www.usc.es/revistas/index.php/elos/index;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência dos Polímeros;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELOS-REVISTA%20DE%20LITERATURA%20INFANTIL%20E%20XUVENIL&btnG=
ELT JOURNAL;0951-0893;http://eltj.oxfordjournals.org;;;Outras / Não Classificado;Geral / Multidisciplinar;Química, Ciência dos Polímeros, Engenharia, Ciência dos Polímeros;Web of Science;3,4;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELT%20JOURNAL&btnG=
ELTE Law Journal;2064-4965;;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,175;Q3;4.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ELTE%20Law%20Journal&btnG=
EMAKEELE SELTSI AASTARAAMAT-THE YEARBOOK OF THE ESTONIAN MOTHER TONGUE SOCIETY;0206-3735;https://www.emakeeleselts.ee/valjaanded/aastaraamat/;;;Outras / Não Classificado;Geral / Multidisciplinar;Ciência dos Polímeros;Web of Science;5,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EMAKEELE%20SELTSI%20AASTARAAMAT-THE%20YEARBOOK%20OF%20THE%20ESTONIAN%20MOTHER%20TONGUE%20SOCIETY&btnG=
EMERGENCY MEDICINE CLINICS OF NORTH AMERICA;0733-8627;https://www.journals.elsevier.com/emergency-medicine-clinics-of-north-america;;;Outras / Não Classificado;Geral / Multidisciplinar;Multidisciplinar, Química Física, Espectroscopia Química;Web of Science;1,4;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=EMERGENCY%20MEDICINE%20CLINICS%20OF%20NORTH%20AMERICA&btnG=
