"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"Journal Of Minimal Access Surgery","0972-9941","Surgery","Web of Science - SCIE","Subjects: Surgery, Diseases of the digestive system. Gastroenterology. Keywords: laparoscopic surgery, thoracoscopic surgery, laparoscopic urology, gastrointestinal endoscopy","Subjects: Surgery, Diseases of the digestive system. Gastroenterology. Keywords: laparoscopic surgery, thoracoscopic surgery, laparoscopic urology, gastrointestinal endoscopy"
"Journal Of Minimally Invasive Gynecology","1553-4650","Obstetrics & Gynecology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Minimally Invasive Gynecology.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Minimally Invasive Gynecology."
"Journal Of Minimally Invasive Spine Surgery And Technique","2508-2043","Clinical Neurology, Surgery","Web of Science - ESCI","Journal of Minimally Invasive Spine Surgery & Technique (JMISST) is the official journal of the Korean Minimally Invasive Spine Surgery Society (KOMISS) for the publication of research results about minimally invasive spinal surgery (MISS), including studies in spinal endoscopic surgery, minimally invasive procedure for degenerative spine disease, pain intervention, and minimally invasive surgery for spinal fusion or spine trauma, neuroscience, neurology, molecular biology and biomechanics etc. Articles with helpful information for MISS such as reports of rare cases or technical review of special devices or equipment are also available","Journal of Minimally Invasive Spine Surgery & Technique (JMISST) is the official journal of the Korean Minimally Invasive Spine Surgery Society (KOMISS) for the publication of research results about minimally invasive spinal surgery (MISS), including studies in spinal endoscopic surgery, minimally invasive procedure for degenerative spine disease, pain intervention, and minimally invasive surgery for spinal fusion or spine trauma, neuroscience, neurology, molecular biology and biomechanics etc. Articles with helpful information for MISS such as reports of rare cases or technical review of special devices or equipment are also available"
"Journal Of Mining And Environment","2251-8592","Mining & Mineral Processing","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in International Journal of Mining Reclamation and Environment.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in International Journal of Mining Reclamation and Environment."
"Journal Of Mining And Metallurgy Section B-Metallurgy","1450-5339","Metallurgy & Metallurgical Engineering","Web of Science - SCIE","ISSN: 1450-5339 (print); EISSN: 2217-7175 (web) JCR ABBREVIATION: J MIN METALL B; ISO ABBREVIATION: J. Min. Metall. Sect. B-Metall. Journal Impact Factor (JIF) 1.4","ISSN: 1450-5339 (print); EISSN: 2217-7175 (web) JCR ABBREVIATION: J MIN METALL B; ISO ABBREVIATION: J. Min. Metall. Sect. B-Metall. Journal Impact Factor (JIF) 1.4"
"Journal Of Mining Institute","2411-3336","Mining & Mineral Processing","Web of Science - ESCI","Peer-reviewed, free international scientific journal in the field of Earth Sciences, indexed in Scopus, Web of Science, and VAK. The journal is dedicated to the advancement of knowledge and innovation in the Earth Sciences.","Peer-reviewed, free international scientific journal in the field of Earth Sciences, indexed in Scopus, Web of Science, and VAK. The journal is dedicated to the advancement of knowledge and innovation in the Earth Sciences."
"Journal Of Mining Science","1062-7391","Mining & Mineral Processing","Web of Science - SCIE","Journal of Mining Science is a peer-reviewed journal focusing on the discovery, extraction, processing, and utilization of valuable minerals from the Earth. ...","Journal of Mining Science is a peer-reviewed journal focusing on the discovery, extraction, processing, and utilization of valuable minerals from the Earth. ..."
"Journal Of Mixed Methods Research","1558-6898","Social Sciences, Interdisciplinary","Web of Science - SSCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Mixed Methods Research.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Mixed Methods Research."
"Journal Of Modelling In Management","1746-5664","Management","Web of Science - ESCI","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Journal of Modelling in Management.","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Journal of Modelling in Management."
"Journal Of Modern African Studies","0022-278X","Area Studies","Web of Science - SSCI","The Journal of Modern African Studies - Corentin Cohen, Michael Odijie","The Journal of Modern African Studies - Corentin Cohen, Michael Odijie"
"Journal Of Modern Chinese History","1753-5654","History","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Modern Chinese History.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Modern Chinese History."
"Journal Of Modern Craft","1749-6772","Art","Web of Science - AHCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in The Journal of Modern Craft.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on academic publications in The Journal of Modern Craft."
"Journal Of Modern Dynamics","1930-5311","Mathematics, Applied","Web of Science - SCIE","Aims and Scope: Published by American Institute of Mathematical Sciences. Focuses on academic publications in Journal of Modern Dynamics.","Aims and Scope: Published by American Institute of Mathematical Sciences. Focuses on academic publications in Journal of Modern Dynamics."
"Journal Of Modern European History","1611-8944","History","Web of Science - AHCI, Web of Science - SSCI","Edited by historians from different countries, the Journal is a response to advancing internationalisation, which is taking place in thinking and w...","Edited by historians from different countries, the Journal is a response to advancing internationalisation, which is taking place in thinking and w..."
"Journal Of Modern Greek Studies","0738-1727","Humanities, Multidisciplinary","Web of Science - AHCI","Aims and Scope: Johns Hopkins University Press. Official website Journal of Modern Greek Studies at Project MUSE Modern Greek Studies Association website v t e v t e","Aims and Scope: Johns Hopkins University Press. Official website Journal of Modern Greek Studies at Project MUSE Modern Greek Studies Association website v t e v t e"
"Journal Of Modern History","0022-2801","History","Web of Science - AHCI, Web of Science - SSCI","Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of The Journal of Modern History.","Aims and Scope: Published by The University of Chicago Press. Focuses on scholarly research in the field of The Journal of Modern History."
"Journal Of Modern Italian Studies","1354-571X","History","Web of Science - AHCI, Web of Science - SSCI","Aims and Scope: The unification of Italy (Italian: Unità d&#039,Italia [uniˈta ddiˈtaːlja]), also known as the Risorgimento (Italian: [risordʒiˈmento], lit. &#039,Resurgence&#039,)","Aims and Scope: The unification of Italy (Italian: Unità d&#039,Italia [uniˈta ddiˈtaːlja]), also known as the Risorgimento (Italian: [risordʒiˈmento], lit. &#039,Resurgence&#039,)"
"Journal Of Modern Jewish Studies","1472-5886","Humanities, Multidisciplinary","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Modern Jewish Studies.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Modern Jewish Studies."
"Journal Of Modern Literature","0022-281X","Literature","Web of Science - AHCI","Missão: Contact Us Email Newsletter Internship Program On the Blog Upcoming Events IU Libraries Resources Customer Service Publish with us Exhibit Schedule Rights and Permissions Open Access Support Us Connect With Us Join our Email List Accessibility Privacy Notice Copyright © 2026 The Trustees of Indiana University Powered by Supadu. More than four decades after its founding, the Journal of Modern Literature remains a leading scholarly journal in the field of modern and contemporary literature and is widely recognized as such. It emphasizes scholarly studies of literature in all languages, as well as related arts and cultural artifacts, from 1900 to the present. International in its scope, its contributors include scholars from Australia, Canada, China, England, Denmark, France, Israel, Japan, Nigeria, Spain, and Turkey. JML: Journal of Modern Literature is dedicated to following best practices on ethical matters, errors, and retractions. The prevention of publication malpractice is one of the important responsibilities of the editorial board. Any kind of unethical behavior is not acceptable, and JML does not tolerate","Missão: Contact Us Email Newsletter Internship Program On the Blog Upcoming Events IU Libraries Resources Customer Service Publish with us Exhibit Schedule Rights and Permissions Open Access Support Us Connect With Us Join our Email List Accessibility Privacy Notice Copyright © 2026 The Trustees of Indiana University Powered by Supadu. More than four decades after its founding, the Journal of Modern Literature remains a leading scholarly journal in the field of modern and contemporary literature and is widely recognized as such. It emphasizes scholarly studies of literature in all languages, as well as related arts and cultural artifacts, from 1900 to the present. International in its scope, its contributors include scholars from Australia, Canada, China, England, Denmark, France, Israel, Japan, Nigeria, Spain, and Turkey. JML: Journal of Modern Literature is dedicated to following best practices on ethical matters, errors, and retractions. The prevention of publication malpractice is one of the important responsibilities of the editorial board. Any kind of unethical behavior is not acceptable, and JML does not tolerate"
"Journal Of Modern Optics","0950-0340","Optics","Web of Science - SCIE","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Modern Optics.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Modern Optics."
"Journal Of Modern Periodical Studies","1947-6574","Humanities, Multidisciplinary","Web of Science - ESCI","The Journal of Medieval Religious Cultures has been in continuous publication for over fifty years. The journal chiefly publishes peer-reviewed essays on mystical and devotional texts, especially but not exclusively of the Western Middle Ages. In its current form, the journal seeks to expand its areas of focus to include the relationship of medieval religious cultures outside Europe. The journal also publishes book reviews and disseminates information of interest to all those who by profession, vocation, or inclination are interested in mysticism and the Middle Ages.","The Journal of Medieval Religious Cultures has been in continuous publication for over fifty years. The journal chiefly publishes peer-reviewed essays on mystical and devotional texts, especially but not exclusively of the Western Middle Ages. In its current form, the journal seeks to expand its areas of focus to include the relationship of medieval religious cultures outside Europe. The journal also publishes book reviews and disseminates information of interest to all those who by profession, vocation, or inclination are interested in mysticism and the Middle Ages."
"Journal Of Modern Power Systems And Clean Energy","2196-5625","Engineering, Electrical & Electronic","Web of Science - SCIE","Journal of Modern Power Systems and Clean Energy. Journal of Modern Power Systems and Clean Energy is dedicated to presenting top-level academic achievements","Journal of Modern Power Systems and Clean Energy. Journal of Modern Power Systems and Clean Energy is dedicated to presenting top-level academic achievements"
"Journal Of Modern Russian History And Historiography","1947-9956","History","Web of Science - ESCI","Aims and Scope: Published by Walter de Gruyter GmbH (Brill Deutschland GmbH). Focuses on academic publications in Journal of Modern Russian History and Historiography.","Aims and Scope: Published by Walter de Gruyter GmbH (Brill Deutschland GmbH). Focuses on academic publications in Journal of Modern Russian History and Historiography."
"Journal Of Molecular And Cellular Cardiology","0022-2828","Cardiac & Cardiovascular System, Cell Biology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular and Cellular Cardiology.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular and Cellular Cardiology."
"Journal Of Molecular And Cellular Cardiology Plus","2772-9761","Cardiac & Cardiovascular System","Web of Science - ESCI","Subjects: Diseases of the circulatory (Cardiovascular) system. Keywords: cardiovascular disease, heart, atherosclerosis, cardiomyopathy","Subjects: Diseases of the circulatory (Cardiovascular) system. Keywords: cardiovascular disease, heart, atherosclerosis, cardiomyopathy"
"Journal Of Molecular And Engineering Materials","2251-2373","Materials Science, Multidisciplinary","Web of Science - ESCI","Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Molecular and Engineering Materials.","Aims and Scope: Published by World Scientific. Focuses on scholarly research in the field of Journal of Molecular and Engineering Materials."
"Journal Of Molecular Biology","0022-2836","Biochemistry & Molecular Biology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Biology.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Biology."
"Journal Of Molecular Cell Biology","1674-2788","Cell Biology","Web of Science - SCIE","Subjects: Cytology. Keywords: molecular biology, cell biology","Subjects: Cytology. Keywords: molecular biology, cell biology"
"Journal Of Molecular Diagnostics","1525-1578","Pathology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Diagnostics.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Diagnostics."
"Journal Of Molecular Endocrinology","0952-5041","Endocrinology & Metabolism","Web of Science - SCIE","Are you interested in learning about the latest advancements in the field of molecular endocrinology? Look no further than the Molecular Endocrinology Journal. This prestigious publication is dedicated to providing high-quality figures and publishing cutting-edge research on molecular and cellular mechanisms in endocrinology. With a focus on gene regulation, cell biology, signalling, mutations, transgenics, hormones, and more, this journal aims to rapidly publish original contributions and reviews in the field of endocrinology and metabolism. Whether you're a researcher, scientist, or medical professional, the Molecular Endocrinology Journal is a valuable resource that will keep you informed about the latest developments in this exciting field.","Are you interested in learning about the latest advancements in the field of molecular endocrinology? Look no further than the Molecular Endocrinology Journal. This prestigious publication is dedicated to providing high-quality figures and publishing cutting-edge research on molecular and cellular mechanisms in endocrinology. With a focus on gene regulation, cell biology, signalling, mutations, transgenics, hormones, and more, this journal aims to rapidly publish original contributions and reviews in the field of endocrinology and metabolism. Whether you're a researcher, scientist, or medical professional, the Molecular Endocrinology Journal is a valuable resource that will keep you informed about the latest developments in this exciting field."
"Journal Of Molecular Evolution","0022-2844","Biochemistry & Molecular Biology, Evolutionary Biology, Genetics & Heredity","Web of Science - SCIE","Publish your work in a journal known for classic papers from Ohta, Felsenstein, and Zuckerkandl! Journal of Molecular Evolution focuses on deciphering ...","Publish your work in a journal known for classic papers from Ohta, Felsenstein, and Zuckerkandl! Journal of Molecular Evolution focuses on deciphering ..."
"Journal Of Molecular Graphics & Modelling","1093-3263","Biochemical Research Methods, Biochemistry & Molecular Biology, Computer Science, Interdisciplinary Applications, Crystallography, Mathematical & Computational Biology","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Graphics and Modelling.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Graphics and Modelling."
"Journal Of Molecular Histology","1567-2379","Cell Biology","Web of Science - SCIE","The Journal of Molecular Histology publishes 6 times a year full-length original research papers, review articles, short communications and letters to the ...","The Journal of Molecular Histology publishes 6 times a year full-length original research papers, review articles, short communications and letters to the ..."
"Journal Of Molecular Medicine-Jmm","0946-2716","Genetics & Heredity, Medicine, Research & Experimental","Web of Science - SCIE","Aims and Scope: Journal of Molecular Medicine is a monthly, peer-reviewed, scientific journal published by Springer Science+Business Media. It covers all aspects of human","Aims and Scope: Journal of Molecular Medicine is a monthly, peer-reviewed, scientific journal published by Springer Science+Business Media. It covers all aspects of human"
"Journal Of Molecular Modeling","1610-2940","Biochemistry & Molecular Biology, Biophysics, Chemistry, Multidisciplinary, Computer Science, Interdisciplinary Applications","Web of Science - SCIE","The Journal of Molecular Modeling focuses on &quot;hardcore&quot; modeling, publishing high-quality research and reports. Founded in 1995 as a purely electronic ...","The Journal of Molecular Modeling focuses on &quot;hardcore&quot; modeling, publishing high-quality research and reports. Founded in 1995 as a purely electronic ..."
"Journal Of Molecular Neuroscience","0895-8696","Biochemistry & Molecular Biology, Neurosciences","Web of Science - SCIE","Journal of Molecular Neuroscience is dedicated to publishing original research that enhances our understanding of the molecular structure, function, and ...","Journal of Molecular Neuroscience is dedicated to publishing original research that enhances our understanding of the molecular structure, function, and ..."
"Journal Of Molecular Pathology","2673-5261","Pathology","Web of Science - ESCI","Subjects: Pathology. Keywords: modern histopathology, pre-analytical cyto- and histo-pathological issues, body fluids molecular pathology, translational pathology research, molecular pathology training programs, agnostic biomarkers","Subjects: Pathology. Keywords: modern histopathology, pre-analytical cyto- and histo-pathological issues, body fluids molecular pathology, translational pathology research, molecular pathology training programs, agnostic biomarkers"
"Journal Of Molecular Recognition","0952-3499","Biochemistry & Molecular Biology, Biophysics","Web of Science - SCIE","Aims and Scope: The Journal of Molecular Recognition is a monthly peer-reviewed scientific journal publishing original research papers, perspectives and reviews describing","Aims and Scope: The Journal of Molecular Recognition is a monthly peer-reviewed scientific journal publishing original research papers, perspectives and reviews describing"
"Journal Of Molecular Spectroscopy","0022-2852","Physics, Atomic, Molecular & Chemical, Spectroscopy","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Spectroscopy.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Spectroscopy."
"Journal Of Molecular Structure","0022-2860","Chemistry, Physical","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Structure.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Molecular Structure."
"Journal Of Molluscan Studies","0260-1230","Marine & Freshwater Biology, Zoology","Web of Science - SCIE","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Journal of Molluscan Studies.","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Journal of Molluscan Studies."
"Journal Of Monetary Economics","0304-3932","Business, Finance, Economics","Web of Science - SSCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Monetary Economics.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Monetary Economics."
"Journal Of Money Credit And Banking","0022-2879","Business, Finance, Economics","Web of Science - SSCI","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Journal of money credit and banking.","Aims and Scope: Published by Wiley (Blackwell Publishing). Focuses on scholarly research in the field of Journal of money credit and banking."
"Journal Of Money Laundering Control","1758-7808","Criminology & Penology","Web of Science - ESCI","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Journal of Money Laundering Control.","Aims and Scope: Published by Emerald (MCB UP). Focuses on scholarly research in the field of Journal of Money Laundering Control."
"Journal Of Moral Education","0305-7240","Education & Educational Research","Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Moral Education.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Moral Education."
"Journal Of Moral Philosophy","1740-4681","Ethics, Philosophy","Web of Science - AHCI, Web of Science - SSCI","Aims and Scope: The Journal of Moral Philosophy is a peer-reviewed journal of moral, political, and legal philosophy with an international focus. It publishes articles","Aims and Scope: The Journal of Moral Philosophy is a peer-reviewed journal of moral, political, and legal philosophy with an international focus. It publishes articles"
"Journal Of Moravian History","1933-6632","Religion","Web of Science - ESCI","Aims and Scope: Published by The Pennsylvania State University Press. Focuses on academic publications in Journal of Moravian History.","Aims and Scope: Published by The Pennsylvania State University Press. Focuses on academic publications in Journal of Moravian History."
"Journal Of Morphology","0362-2525","Anatomy & Morphology","Web of Science - SCIE","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Journal of Morphology.","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Journal of Morphology."
"Journal Of Mosaic Research","1309-047X","Archaeology","Web of Science - ESCI","About The JMR (Journal of Mosaic Research) is an international journal on mosaics, annually published by the Uludag University Mosaic Research Centre. The aim of this journal is to serve as a forum for scientific studies with critical analysis, interpretation, and synthesis of mosaics and related subjects. The main matter of the journal covers mosaics of Turkey and other mosaics related to Turkey mosaics. Besides, the journal also accommodates creative and original mosaic researches in general. Furthermore, together with articles about mosaics, the journal also includes book presentations and news about mosaics. Show All","About The JMR (Journal of Mosaic Research) is an international journal on mosaics, annually published by the Uludag University Mosaic Research Centre. The aim of this journal is to serve as a forum for scientific studies with critical analysis, interpretation, and synthesis of mosaics and related subjects. The main matter of the journal covers mosaics of Turkey and other mosaics related to Turkey mosaics. Besides, the journal also accommodates creative and original mosaic researches in general. Furthermore, together with articles about mosaics, the journal also includes book presentations and news about mosaics. Show All"
"Journal Of Motor Behavior","0022-2895","Neurosciences, Psychology, Sport Sciences, Experimental","Web of Science - SCIE, Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Motor Behavior.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Motor Behavior."
"Journal Of Motor Learning And Development","2325-3193","Psychology, Development, Experimental, Sport Sciences","Web of Science - ESCI","Aims and Scope: Published by Human Kinetics. Focuses on academic publications in Journal of Motor Learning and Development.","Aims and Scope: Published by Human Kinetics. Focuses on academic publications in Journal of Motor Learning and Development."
"Journal Of Mountain Science","1672-6316","Environmental Sciences","Web of Science - SCIE","The Journal of Mountain Science, started in 2004, is an international English-language journal on mountain sciences. The JMS is supervised by the Chinese ...","The Journal of Mountain Science, started in 2004, is an international English-language journal on mountain sciences. The JMS is supervised by the Chinese ..."
"Journal Of Movement Disorders","2005-940X","Clinical Neurology","Web of Science - SCIE","Subjects: Neurology. Diseases of the nervous system. Keywords: movement disorders, parkinson’s disease, neurodegenerative disorders, neurology, neuroscience","Subjects: Neurology. Diseases of the nervous system. Keywords: movement disorders, parkinson’s disease, neurodegenerative disorders, neurology, neuroscience"
"Journal Of Multi-Criteria Decision Analysis","1057-9214","Management","Web of Science - ESCI","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Journal of Multi-Criteria Decision Analysis.","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Journal of Multi-Criteria Decision Analysis."
"Journal Of Multicultural Counseling And Development","0883-8534","Psychology, Applied","Web of Science - SSCI","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Journal of Multicultural Counseling and Development.","Aims and Scope: Published by Wiley (John Wiley & Sons). Focuses on scholarly research in the field of Journal of Multicultural Counseling and Development."
"Journal Of Multicultural Discourses","1744-7143","Cultural Studies, Communication, Ethnic Studies, Linguistics, Language & Linguistics","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Multicultural Discourses.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Multicultural Discourses."
"Journal Of Multidisciplinary Healthcare","1178-2390","Health Care Sciences & Services","Web of Science - SCIE","The Journal of Multidisciplinary Healthcare (JMDH) aims to represent and publish research in healthcare areas delivered by practitioners of different disciplines. This includes studies and reviews conducted by multidisciplinary teams as well as research which evaluates or reports the results or conduct of such teams or healthcare processes in general.","The Journal of Multidisciplinary Healthcare (JMDH) aims to represent and publish research in healthcare areas delivered by practitioners of different disciplines. This includes studies and reviews conducted by multidisciplinary teams as well as research which evaluates or reports the results or conduct of such teams or healthcare processes in general."
"Journal Of Multilingual And Multicultural Development","0143-4632","Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Multilingual and Multicultural Development.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Multilingual and Multicultural Development."
"Journal Of Multilingual Theories And Practices","2632-4490","Linguistics, Language & Linguistics","Web of Science - ESCI","Aims and Scope: Published by University of Toronto Press Inc. Focuses on scholarly research in the field of Journal of Multilingual Theories and Practices.","Aims and Scope: Published by University of Toronto Press Inc. Focuses on scholarly research in the field of Journal of Multilingual Theories and Practices."
"Journal Of Multimorbidity And Comorbidity","2633-5565","Public, Environmental & Occupational Health","Web of Science - ESCI","The Journal of Multimorbidity and Comorbidity is an international, open-access, peer-reviewed journal that publishes original clinical and experime...","The Journal of Multimorbidity and Comorbidity is an international, open-access, peer-reviewed journal that publishes original clinical and experime..."
"Journal Of Multinational Financial Management","1042-444X","Business, Finance","Web of Science - SSCI","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Multinational Financial Management.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Multinational Financial Management."
"Journal Of Multiple-Valued Logic And Soft Computing","1542-3980","Computer Science, Artificial Intelligence, Theory & Methods, Logic","Web of Science - SCIE","",""
"Journal Of Multiscale Modelling","1756-9737","Mathematics, Interdisciplinary Applications","Web of Science - ESCI","Aims and Scope: Published by World Scientific. Focuses on academic publications in Journal of Multiscale Modelling.","Aims and Scope: Published by World Scientific. Focuses on academic publications in Journal of Multiscale Modelling."
"Journal Of Multivariate Analysis","0047-259X","Statistics & Probability","Web of Science - SCIE","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Multivariate Analysis.","Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Journal of Multivariate Analysis."
"Journal Of Muscle Research And Cell Motility","0142-4319","Cell Biology","Web of Science - SCIE","The Journal of Muscle Research and Cell Motility is dedicated to publishing original research on the excitation and contraction of muscle and the processes ...","The Journal of Muscle Research and Cell Motility is dedicated to publishing original research on the excitation and contraction of muscle and the processes ..."
"Journal Of Musculoskeletal & Neuronal Interactions","1108-7161","Neurosciences, Physiology","Web of Science - SCIE","Journal of Musculoskeletal & Neuronal Interactions","Journal of Musculoskeletal & Neuronal Interactions"
"Journal Of Musculoskeletal Surgery And Research","2589-1219","Orthopedics","Web of Science - ESCI","Journal of Musculoskeletal Surgery and Research Review Latest Developments in the field of Musculoskeletal Research & Studies from Orthopedic and Spine Surgery, Rheumatology, Basic Science, Rehabilitation and Physiotherapy, Orthopedic Nursing and Education. ISSN (Print): 2589-1219, ISSN (Online): 2589-1227 Frequency of publication: Bi-Monthly | Language of publication: EnglishStarting year: 2017 | Format of publication: Print + Online […]","Journal of Musculoskeletal Surgery and Research Review Latest Developments in the field of Musculoskeletal Research & Studies from Orthopedic and Spine Surgery, Rheumatology, Basic Science, Rehabilitation and Physiotherapy, Orthopedic Nursing and Education. ISSN (Print): 2589-1219, ISSN (Online): 2589-1227 Frequency of publication: Bi-Monthly | Language of publication: EnglishStarting year: 2017 | Format of publication: Print + Online […]"
"Journal Of Museum Education","1059-8650","Education & Educational Research","Web of Science - ESCI","Aims and Scope: Published by Maney Publishing. Focuses on scholarly research in the field of Journal of Museum Education.","Aims and Scope: Published by Maney Publishing. Focuses on scholarly research in the field of Journal of Museum Education."
"Journal Of Musicological Research","0141-1896","Music","Web of Science - AHCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Musicological Research.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Musicological Research."
"Journal Of Musicology","0277-9269","Music","Web of Science - AHCI","Aims and Scope: Published by University of California Press. Focuses on scholarly research in the field of Journal of Musicology.","Aims and Scope: Published by University of California Press. Focuses on scholarly research in the field of Journal of Musicology."
"Journal Of Music Teacher Education","1057-0837","Education & Educational Research","Web of Science - ESCI","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Music Teacher Education.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of Journal of Music Teacher Education."
"Journal Of Music Technology & Education","1752-7066","Music","Web of Science - ESCI","Aims and Scope: Published by Intellect. Focuses on scholarly research in the field of Journal of Music Technology and Education.","Aims and Scope: Published by Intellect. Focuses on scholarly research in the field of Journal of Music Technology and Education."
"Journal Of Music Theory","0022-2909","Music","Web of Science - AHCI","Aims and Scope: Published by Duke University Press. Focuses on scholarly research in the field of Journal of Music Theory.","Aims and Scope: Published by Duke University Press. Focuses on scholarly research in the field of Journal of Music Theory."
"Journal Of Music Therapy","0022-2917","Rehabilitation","Web of Science - SSCI","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Journal of Music Therapy.","Aims and Scope: Published by Oxford University Press. Focuses on scholarly research in the field of Journal of Music Therapy."
"Journal Of Muslim Mental Health","1556-4908","Psychology, Multidisciplinary","Web of Science - ESCI","Subjects: Mental healing, Psychiatry. Keywords: muslims, religious, psychiatry, mental health, social science","Subjects: Mental healing, Psychiatry. Keywords: muslims, religious, psychiatry, mental health, social science"
"Journal Of Muslim Minority Affairs","1360-2004","Religion","Web of Science - ESCI","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Muslim Minority Affairs.","Aims and Scope: Published by Informa UK (Taylor & Francis). Focuses on scholarly research in the field of Journal of Muslim Minority Affairs."
"Journal Of Nanobiotechnology","1477-3155","Biotechnology & Applied Microbiology, Nanoscience & Nanotechnology","Web of Science - SCIE","Journal of Nanobiotechnology is a peer-reviewed, open access journal communicating scientific and technological advances in the fields of medicine and ...","Journal of Nanobiotechnology is a peer-reviewed, open access journal communicating scientific and technological advances in the fields of medicine and ..."
